Année,avg,max,min,median,ecart_type,percentile_25,percentile_75
1984,58.0,73.0,43.0,58.0,21.213203435596427,50.5,65.5
1987,44.0,44.0,44.0,44.0,,44.0,44.0
1991,27.0,35.0,15.0,31.0,10.583005244258363,23.0,33.0
1992,40.5,52.0,29.0,40.5,16.263455967290593,34.75,46.25
1993,41.0,41.0,41.0,41.0,,41.0,41.0
1994,36.375,86.0,17.0,25.5,24.916646759030108,21.5,39.25
1995,53.5,76.0,31.0,53.5,31.81980515339464,42.25,64.75
1997,27.0,27.0,27.0,27.0,,27.0,27.0
1998,27.666666666666668,45.0,15.0,23.0,15.53490693030806,19.0,34.0
1999,28.0,76.0,13.0,22.5,18.390818965511627,17.0,30.25
2000,35.04761904761905,155.0,13.0,28.0,30.075698147301903,21.0,37.0
2001,35.36842105263158,87.0,13.0,27.0,22.964248847854766,18.5,44.5
2002,40.1578947368421,105.0,13.0,31.0,26.773251904538224,22.5,46.0
2003,39.61538461538461,118.0,13.0,23.0,34.28201292597053,17.0,52.0
2004,25.0,50.0,14.0,22.5,10.642966093750712,16.75,29.0
2005,48.7037037037037,164.0,16.0,41.0,30.813102626111725,27.5,60.5
2006,56.04761904761905,202.0,20.0,44.5,37.88619182206315,30.25,62.75
2007,48.36363636363637,150.0,21.0,41.0,27.138324125922665,30.0,58.0
2008,42.3421052631579,92.0,13.0,39.5,17.591884363196556,29.25,51.75
2009,46.648648648648646,94.0,21.0,42.0,19.48249387443937,31.0,59.0
2010,48.09375,128.0,21.0,42.5,25.83865493228464,30.75,57.25
2011,56.08108108108108,205.0,22.0,48.0,35.39960638385873,34.0,65.0
2012,46.69047619047619,125.0,16.0,43.5,22.4960572103561,30.25,56.75
2013,91.04761904761905,1711.0,13.0,64.5,186.46372461332098,38.75,93.25
2014,76.28571428571429,790.0,13.0,62.5,86.42241055693597,40.75,90.25
2015,93.4020618556701,1198.0,7.0,65.0,149.0159848664044,38.0,98.0
2016,98.73949579831933,1388.0,6.0,76.0,141.00880259726028,44.5,112.5
2017,102.61379310344827,554.0,19.0,92.0,66.65553930124811,56.0,134.0
2018,115.25984251968504,398.0,19.0,111.0,61.298671960345,72.5,155.5
